unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
100654,Alabama A & M University,2013,15,7182,"5,000 - 9,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,Yes,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",High undergraduate,"Medium four-year, highly residential",Land Grant Institution,Doctoral/Research Universities--Intensive,"Masters Colleges and Universities (larger programs), public /5 of 5"
100663,University of Alabama at Birmingham,2013,18,7206,"10,000 - 19,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Balanced arts & sciences/professions, high graduate coexistence",STEM dominant,"Medium full-time four-year, selective, higher transfer-in",Majority undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"
100690,Amridge University,2013,10,6870,"Under 1,000",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Balanced arts & sciences/professions, high graduate coexistence",Single doctoral (other field),"Medium full-time four-year, inclusive",Majority undergraduate,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /7 of 7"
100706,University of Alabama in Huntsville,2013,16,9192,"5,000 - 9,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Professions plus arts & sciences, high graduate coexistence",STEM dominant,"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (very high research activity), public /2 of 2"
100724,Alabama State University,2013,16,8720,"5,000 - 9,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,Yes,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Single doctoral (education),"Full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /5 of 5"
100751,The University of Alabama,2013,21,9450,"20,000 and above",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), public/1of 2"
100760,Central Alabama Community College,2013,17,4200,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, southeastern states, town locale"
100830,Auburn University at Montgomery,2013,16,8750,"5,000 - 9,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /5 of 5"
100858,Auburn University,2013,18,9852,"20,000 and above",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), public/1of 2"
100937,Birmingham Southern College,2013,13,30690,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences plus professions, some graduate coexistence",Single postbaccalaureate (business),"Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /5 of 7"
101028,Chattahoochee Valley Community College,2013,18,4260,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, southeastern states, rural locale"
